Year,Gender,Intent,Substance,Under1_year,1to4_Years,5to14_years,15to24_years,25to34_years,35to44_years,45to54_years,55to64_years,65to74_years,75to84_years,85Plus_years
2021,Both sexes,"All (preventable, intentional, undetermined)",All drugs,75,126,7426,24070,26908,21875,108,19399,5646,800,256
2021,Both sexes,"All (preventable, intentional, undetermined)",Any Opioid,43,104,6312,20279,21100,15599,72,13080,3420,312,82
2021,Both sexes,"All (preventable, intentional, undetermined)",Benzodiazepines,0,0,1118,3056,3203,2374,0,2016,595,91,39
2021,Both sexes,"All (preventable, intentional, undetermined)",Cannabis,0,0,147,331,295,210,0,153,22,0,0
2021,Both sexes,"All (preventable, intentional, undetermined)",Cocaine,0,12,1157,4794,6025,5722,0,5411,1275,81,0
2021,Both sexes,"All (preventable, intentional, undetermined)",Opioid subgroup - heroin,0,0,360,2153,2412,1916,0,1797,491,34,0
2021,Both sexes,"All (preventable, intentional, undetermined)",Opioid subgroup - methadone,0,0,73,600,905,819,0,936,309,21,0
2021,Both sexes,"All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,40,93,5936,18585,19000,13467,60,10792,2452,146,22
2021,Both sexes,"All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,0,0,593,2698,3158,2924,10,2927,1068,169,61
2021,Both sexes,"All (preventable, intentional, undetermined)",Psychostimulants – incl. methamphetamine,29,0,1502,7478,9220,7315,0,5643,1260,67,0
2021,Both sexes,Preventable/accidental,All drugs,26,33,6735,22602,25255,20193,64,17811,4886,513,142
2021,Both sexes,Preventable/accidental,Any Opioid,12,25,6021,19376,20137,14698,52,12210,3035,183,30
2021,Both sexes,Preventable/accidental,Benzodiazepines,0,0,1049,2889,2961,2114,0,1730,442,26,0
2021,Both sexes,Preventable/accidental,Cannabis,0,0,145,323,287,205,0,149,20,0,0
2021,Both sexes,Preventable/accidental,Cocaine,0,0,1109,4593,5776,5470,0,5226,1251,79,0
2021,Both sexes,Preventable/accidental,Opioid subgroup - heroin,0,0,349,2103,2350,1882,0,1764,486,34,0
2021,Both sexes,Preventable/accidental,Opioid subgroup - methadone,0,0,67,547,834,755,0,847,290,20,0
2021,Both sexes,Preventable/accidental,Opioid subgroup – including fentanyl,12,23,5692,17817,18226,12835,47,10249,2294,110,20
2021,Both sexes,Preventable/accidental,Opioid subgroup – including oxycodone and hydrocodone,0,0,532,2544,2954,2624,0,2566,826,64,16
2021,Both sexes,Preventable/accidental,Psychostimulants – incl. methamphetamine,12,0,1430,7254,8935,7115,0,5545,1241,62,0
2021,Female,"All (preventable, intentional, undetermined)",All drugs,35,59,2311,6709,7967,6912,59,6122,1718,357,148
2021,Female,"All (preventable, intentional, undetermined)",Any Opioid,25,50,1866,5539,6046,4757,33,4155,1008,123,51
2021,Female,"All (preventable, intentional, undetermined)",Benzodiazepines,0,0,329,1012,1241,1097,0,986,299,57,29
2021,Female,"All (preventable, intentional, undetermined)",Cannabis,0,0,41,77,78,65,0,41,5,0,0
2021,Female,"All (preventable, intentional, undetermined)",Cocaine,0,0,384,1402,1784,1614,0,1423,229,14,0
2021,Female,"All (preventable, intentional, undetermined)",Opioid subgroup - heroin,0,0,126,552,615,510,0,465,94,5,0
2021,Female,"All (preventable, intentional, undetermined)",Opioid subgroup - methadone,0,0,28,262,392,354,0,390,85,2,0
2021,Female,"All (preventable, intentional, undetermined)",Opioid subgroup – including fentanyl,24,42,1755,5021,5186,3804,29,3056,583,55,15
2021,Female,"All (preventable, intentional, undetermined)",Opioid subgroup – including oxycodone and hydrocodone,0,0,182,811,1222,1236,0,1309,457,81,39
