County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Adair County, OK",23392,24676,25681,26108,27230,29760,29778,31327,31975,33062,35788,40275
"Alfalfa County, OK",32090,38738,44584,42344,48532,44624,36521,35592,39211,38040,40934,45533
"Atoka County, OK",25481,26711,27698,28554,29916,29912,29873,30981,31467,32234,34422,36277
"Beaver County, OK",39913,48952,52613,55957,58084,51395,46166,50646,54786,55866,58018,68300
"Beckham County, OK",32338,37707,40800,42055,44433,36417,32618,34722,37195,36909,37295,39517
"Blaine County, OK",32212,36003,37526,36224,41001,39085,37216,39953,44424,46166,44913,51333
"Bryan County, OK",27438,27966,29307,29995,31897,32363,33735,34883,35563,37699,40728,44736
"Caddo County, OK",27103,29651,31116,31599,33275,33091,32039,35825,37575,39225,41474,45515
"Canadian County, OK",36832,39278,41753,42410,44148,43247,42504,43438,45203,46322,48590,52397
"Carter County, OK",35499,37488,40389,40364,43222,41075,39872,40972,43066,43748,46290,50134
"Cherokee County, OK",26429,27049,28400,28770,29516,31010,30780,32075,33492,35406,38429,41871
"Choctaw County, OK",25914,27266,28747,29219,30470,31127,30332,30599,31848,33431,37326,41068
"Cimarron County, OK",42066,52449,55844,76036,65719,80882,69456,68343,58740,63139,64058,71759
"County, OK",37095,38874,40035,40275,42483,42574,41660,42595,43745,44950,47444,51166
"Coal County, OK",28792,29883,29841,30214,34552,34242,33018,34780,37643,40198,40681,43400
"Comanche County, OK",36312,37168,36752,37300,37901,38962,39247,40017,41004,42347,45564,48279
"Cotton County, OK",36230,37772,39360,39242,40260,38630,38939,40335,41274,45198,48451,50941
"Craig County, OK",28427,30100,31971,31874,35331,35785,34885,36083,37427,39628,41100,43402
"Creek County, OK",33528,35345,35902,36773,38240,38439,38368,38678,40182,42491,45104,48316
"Custer County, OK",34611,39488,40565,39331,41300,37356,35277,38280,40136,41128,42845,47447
"Delaware County, OK",27060,28540,29077,29906,31090,32683,31911,33220,34229,36139,38206,42227
"Dewey County, OK",36961,41007,44030,46522,49146,42665,41459,40587,48293,52919,51744,49183
"Ellis County, OK",42627,56453,62591,65382,74519,56620,46660,50486,52503,55215,54313,58132
"Garfield County, OK",39516,41842,44592,42967,45554,43509,43133,42104,42941,43388,44544,49013
"Garvin County, OK",32822,34777,36886,37440,39736,38192,36244,38039,40444,42768,47109,49826
"Grady County, OK",32937,35831,36534,36924,39530,37989,37129,38884,40685,42517,44774,48189
"Grant County, OK",37373,43898,46988,47758,50738,49157,43435,42224,43139,48974,53750,58958
"Greer County, OK",22797,24994,27569,29907,32266,29536,27741,29192,29579,32260,33404,35233
"Harmon County, OK",35457,32739,35330,38871,40691,38093,37555,38482,38054,42256,46180,50094
"Harper County, OK",37495,45028,47690,49983,54589,58382,49657,53726,53424,55364,55270,60361
"Haskell County, OK",29367,32238,33057,33897,34850,36122,33904,34149,34814,36051,38333,42905
"Hughes County, OK",27000,29830,29900,32249,35293,34905,33563,36758,38696,41171,40693,49198
"Jackson County, OK",34316,34909,35812,35630,37193,35798,36452,38346,39642,42458,45407,49245
"Jefferson County, OK",29568,33560,33506,32966,38793,37632,34299,33050,35587,37098,40267,40166
"Johnston County, OK",29925,30913,31318,31246,33949,33807,33999,35941,38563,37832,41626,44844
"Kay County, OK",34117,36368,37448,37813,38682,38423,38064,39180,39617,41405,45376,48760
"Kingfisher County, OK",34884,39018,43251,44166,50073,47434,46865,49467,54950,58645,61983,70770
"Kiowa County, OK",29697,33550,35737,37696,37570,35569,34935,35342,35291,38851,42794,45629
"Latimer County, OK",30903,30788,32996,33312,33698,34284,34631,35605,36096,36410,37746,39758
"Le Flore County, OK",27787,28986,30282,30573,31204,31509,31022,32380,33220,34860,36610,40215
"Lincoln County, OK",28322,30679,32355,33248,35055,34637,34497,35295,36566,38712,42441,46021
"Logan County, OK",33493,35800,38032,38386,39640,38710,37590,41036,42527,43916,45482,48345
"Love County, OK",30219,32278,31771,32874,35259,36020,36050,36118,38084,39384,41656,43816
"McClain County, OK",36095,39595,43510,43808,44538,41725,41538,43451,46548,48819,49755,53986
"McCurtain County, OK",27420,28515,29112,30070,30918,32171,32063,33197,33780,35059,38429,43249
"McIntosh County, OK",27944,29701,30754,31101,32932,33390,32944,33407,34316,37441,40525,42846
"Major County, OK",33859,39465,42231,42112,47594,41166,37422,39251,43418,42849,43642,48584
"Marshall County, OK",27993,30591,32262,31559,33598,32381,33513,34759,36070,37945,41383,44512
"Mayes County, OK",28407,29227,30645,31530,33607,34786,34482,35305,36886,38648,42065,45371
"Murray County, OK",34765,37200,39036,39374,41311,42207,39332,41016,42734,43816,45891,49163
"Muskogee County, OK",30474,31443,32012,32741,33654,35115,35109,35838,36663,38384,42004,44821
"Noble County, OK",31401,35353,38851,40447,43323,41276,39796,40984,42097,45362,47929,50424
"Nowata County, OK",29256,31110,32645,34143,35757,36891,35021,36304,38072,39729,42499,44261
"Okfuskee County, OK",24159,25838,26959,27593,29293,29437,28682,28701,30099,32973,35328,38380
